,industry,mean,std
0,AI,617.7142857142857,947.995906159535
1,Aerospace,541.4285714285714,551.2137689205695
2,Construction,227.9,197.41746517356452
3,Consumer,2237.4695652173914,7290.333264538098
4,Crypto,239.8793103448276,330.392115660686
5,Data,461.5897435897436,878.0468371978175
6,Education,528.780487804878,1713.4263408765946
7,Energy,167.7,224.91531739745963
8,Finance,576.0331125827814,1589.8301603933196
9,Fitness,395.6,587.0404491079714
10,Food,925.1166666666667,2684.043894988677
11,HR,256.9714285714286,402.8035198831461
12,Hardware,319.67857142857144,850.6385424457205
13,Healthcare,410.280701754386,753.3147106306902
14,Infrastructure,228.45,220.93949517077246
15,Legal,364.85714285714283,313.95510749756806
16,Logistics,1014.1176470588235,1748.473580096113
17,Manufacturing,397.72727272727275,681.4731235946273
18,Marketing,198.0212765957447,260.49981134614734
19,Media,363.1621621621622,1372.9465376318174
20,Other,375.68131868131866,706.8335161380079
21,Product,279.53846153846155,370.57986439826425
22,Real Estate,1028.8529411764705,3778.6930250707533
23,Recruiting,162.71428571428572,226.2739757195071
24,Retail,615.5217391304348,1685.5597334140468
25,Sales,335.55,390.00316800332735
26,Security,222.69387755102042,235.55017194517467
27,Support,287.94444444444446,303.2982364957599
28,Transportation,2389.0967741935483,5088.029331900958
29,Travel,1488.157894736842,3197.323034163943
