,Company,Industry,sum,std
0, E Inc.,Transportation,0.0,
1, Included Health,Healthcare,272.0,
2,&Open,Marketing,35.0,
3,100 Thieves,Consumer,120.0,
4,10X Genomics,Healthcare,242.0,
5,2TM,Crypto,500.0,0.0
6,2U,Education,426.0,
7,54gene,Healthcare,44.0,
8,5B Solar,Energy,12.0,
9,6sense,Sales,426.0,
10,8x8,Support,253.0,
11,98point6,Healthcare,247.0,
12,99,Transportation,244.0,
13,Abra,Crypto,106.0,
14,Absci,Healthcare,237.0,
15,Acast,Media,126.0,
16,ActiveCampaign,Marketing,360.0,
17,Ada,Support,190.0,
18,Ada Health,Healthcare,189.0,
19,Adaptive Biotechnologies,Healthcare,406.0,
20,Addi,Finance,376.0,
21,Adobe,Marketing,2.0,
22,Advata,Healthcare,0.0,
23,Adwerx,Marketing,20.0,
24,Affirm,Finance,1500.0,
25,Afterverse,Consumer,0.0,
26,Ahead,Healthcare,9.0,
27,Airlift,Logistics,218.0,0.0
28,Airtable,Product,1400.0,
29,Airtame,Consumer,7.0,
30,Airtasker,Consumer,26.0,
31,Airtime,Consumer,33.0,
32,Ajaib,Finance,245.0,
33,Akerna,Logistics,46.0,
34,AlayaCare,Healthcare,293.0,
35,Albert,Finance,175.0,
36,Alerzo,Retail,16.0,
37,AliExpress Russia,Retail,60.0,
38,Alice,Healthcare,348.0,0.0
39,Allbirds,Retail,202.0,
40,Almanac,Other,45.0,
41,Alto Pharmacy,Healthcare,560.0,
42,Amazon,Retail,216.0,0.0
43,Amber Group,Crypto,328.0,
44,Amobee,Marketing,72.0,
45,Amount,Finance,283.0,
46,Amperity,Marketing,187.0,
47,Anodot,Data,128.0,0.0
48,Antidote Health,Healthcare,36.0,
49,Anywell,Real Estate,15.0,
50,Apartment List,Real Estate,169.0,
51,Apeel Sciences,Food,640.0,
52,Apollo,Product,183.0,
53,Apollo Insurance,Finance,11.0,
54,AppGate,Security,0.0,
55,AppLovin,Marketing,1600.0,
56,ApplyBoard,Education,483.0,
57,Aqgromalin,Food,12.0,
58,Aqua Security,Security,265.0,
59,Arc,HR,1.0,
60,Arete,Security,0.0,
61,Argo AI,Transportation,10800.0,0.0
62,Argyle,Finance,78.0,
63,Armis,Security,537.0,
64,Arrival,Transportation,1258.0,0.0
65,Article,Retail,0.0,
66,Artnight,Retail,0.0,
67,Asana,Other,453.0,
68,Aspire,Marketing,27.0,
69,Assure,Finance,2.0,
70,Astra,Aerospace,300.0,
71,AtoB,Finance,177.0,
72,Atome,Finance,645.0,
73,Aura,Security,500.0,
74,Autobooks,Finance,97.0,
75,Autograph,Crypto,205.0,
76,Automox,Infrastructure,304.0,0.0
77,AvantStay,Travel,1497.0,88.38834764831844
78,Avast,Security,0.0,
79,Avo,Food,45.0,
80,Babylon,Healthcare,1100.0,
81,Back Market,Retail,1000.0,
82,Bakkt,Crypto,932.0,
83,Balto,Sales,102.0,0.0
84,Bamboo Health,Healthcare,0.0,
85,Banxa,Crypto,13.0,
86,Baton,Transportation,13.0,
87,Beat,Transportation,6.0,
88,Benitago Group,Retail,380.0,
89,Berkeley Lights,Healthcare,272.0,
90,Berlin Brands Group,Retail,1000.0,
91,Bestow,Finance,137.0,
92,Better.com,Real Estate,2715.0,0.0
93,Betterfly,Healthcare,204.0,
94,Beyond Meat,Food,366.0,0.0
95,BeyondMinds,Data,16.0,
96,BigBear.ai,Data,200.0,
97,BigCommerce,Retail,224.0,
98,Bikayi,Retail,12.0,
99,Bilibili,Media,3700.0,
100,BioMarin,Healthcare,585.0,
101,Bird,Transportation,783.0,
102,BitMEX,Crypto,0.0,0.0
103,BitOasis,Crypto,30.0,
104,Bitfront,Crypto,0.0,
105,Bitpanda,Crypto,546.0,
106,Bitrise,Infrastructure,83.0,
107,Bitso,Crypto,756.0,0.0
108,Bizpay,Finance,45.0,
109,Bizzabo,Marketing,388.0,0.0
110,BlackLine,Finance,220.0,
111,Blend,Finance,1995.0,0.0
112,BlockFi,Crypto,2000.0,0.0
113,Blockchain.com,Crypto,490.0,
114,BloomTech,Education,0.0,
115,Blue Apron,Food,352.0,
116,BlueStacks,Other,48.0,
117,Bol.com,Retail,0.0,
118,Bolt,Finance,1300.0,
119,Bond,Finance,42.0,
120,Bonsai,Retail,54.0,0.0
121,BookClub,Education,26.0,
122,Booking.com,Travel,0.0,
123,Booktopia,Retail,23.0,
124,Boosted Commerce,Retail,137.0,
125,Boozt,Retail,56.0,
126,Brainbase,Sales,12.0,
127,Brainly,Education,148.0,
128,Brave Care,Healthcare,42.0,
129,Breathe,Healthcare,6.0,
130,Brex,Finance,1500.0,
131,Bridgit,Construction,36.0,
132,Bright Machines,Data,250.0,
133,Bright Money,Finance,31.0,
134,Brighte,Energy,290.0,0.0
135,Brightline,Healthcare,212.0,
136,Briza,Finance,10.0,
137,Brodmann17,Other,25.0,
138,Bryter,Product,89.0,
139,Buenbit,Crypto,11.0,
140,Built In,Recruiting,29.0,
141,Bullish,Crypto,300.0,
142,Bungalow,Real Estate,171.0,
143,Buser,Transportation,138.0,
144,Butler Hospitality,Food,50.0,
145,Butterfly Network,Healthcare,530.0,
146,BuzzFeed,Media,696.0,
147,Buzzer,Media,32.0,
148,Bybit,Crypto,0.0,0.0
149,Byju's,Education,5500.0,
150,Bytedance,Consumer,9400.0,
151,C2FO,Finance,537.0,
152,Calibrate,Healthcare,127.0,
153,Callisto Media,Media,0.0,0.0
154,Calm,Healthcare,218.0,
155,Cameo,Consumer,330.0,0.0
156,Candidate Labs,HR,5.0,
157,Candy Digital,Crypto,100.0,
158,Canoo,Transportation,300.0,
159,Capiter,Finance,33.0,
160,Capitolis,Finance,562.0,0.0
161,Capsule,Healthcare,570.0,
162,CaptivateIQ,Sales,164.0,
163,CarDekho,Transportation,497.0,
164,Carbon,Hardware,683.0,
165,Carbon Health,Healthcare,522.0,
166,Cardlytics,Marketing,212.0,
167,Career Karma,Education,51.0,
168,Caribou,Finance,189.0,
169,Carousell,Retail,372.0,
170,Cars24,Transportation,1300.0,
171,Carsome,Transportation,607.0,
172,Carvana,Transportation,3200.0,0.0
173,Carwow,Transportation,157.0,
174,Catalyst,Support,45.0,
175,Cazoo,Transportation,4000.0,0.0
176,Cedar,Healthcare,351.0,
177,Celsius,Crypto,864.0,
178,Cerebral,Healthcare,924.0,0.0
179,Change Invest,Finance,22.0,
180,Change.org,Other,72.0,
181,Chargebee,Finance,468.0,
